"S.no","temperature","outlier"
741,73.5,"No"
742,73.55,"No"
743,73.6,"No"
744,73.50166667,"No"
745,73.37166667,"No"
746,73.48333333,"No"
747,73.62833333,"No"
748,73.79666667,"No"
749,73.725,"No"
750,73.7,"No"
751,73.845,"No"
752,74.08833333,"No"
753,74.16333333,"No"
754,74.155,"No"
755,74.10166667,"No"
756,74.18333333,"No"
757,74.44833333,"No"
758,74.49666667,"No"
759,74.505,"No"
760,74.47166667,"No"
761,74.32833333,"No"
762,74.43,"No"
763,74.415,"No"
764,74.36666667,"No"
765,74.40166667,"No"
766,74.3,"No"
767,74.41833333,"No"
768,74.49666667,"No"
769,74.45666667,"No"
770,74.54166667,"No"
771,74.48333333,"No"
772,74.39333333,"No"
773,74.44,"No"
774,74.42833333,"No"
775,74.49666667,"No"
776,74.575,"No"
777,74.425,"No"
778,74.53333333,"No"
779,74.62833333,"No"
780,74.60333333,"No"
781,74.7,"No"
782,74.55166667,"No"
783,74.54833333,"No"
784,74.68666667,"No"
785,74.62,"No"
786,74.635,"No"
787,74.64166667,"No"
788,74.565,"No"
789,74.74,"No"
790,74.81333333,"No"
791,74.74666667,"No"
792,74.8,"No"
793,74.69666667,"No"
794,74.69166667,"No"
795,74.855,"No"
796,74.9,"No"
797,74.86333333,"No"
798,74.74833333,"No"
799,74.6,"No"
800,74.70166667,"No"
801,74.85,"No"
802,74.81833333,"No"
803,74.97333333,"No"
804,74.92666667,"No"
805,74.97333333,"No"
806,75.18166667,"No"
807,75.32666667,"No"
808,75.49166667,"No"
809,75.55833333,"No"
810,75.5,"No"
811,75.57666667,"No"
812,75.84833333,"No"
813,75.9,"No"
814,75.95666667,"No"
815,75.9,"No"
816,75.9,"No"
817,76.09,"No"
818,76.13666667,"No"
819,76.1,"No"
820,76.1,"No"
821,76.14833333,"No"
822,76.32166667,"No"
823,76.52166667,"No"
824,76.52833333,"No"
825,76.36166667,"No"
826,76.3,"No"
827,76.30833333,"No"
828,76.34833333,"No"
829,76.28833333,"No"
830,76.3,"No"
831,76.34,"No"
832,76.41333333,"No"
833,76.50166667,"No"
834,76.41833333,"No"
835,76.39833333,"No"
836,76.305,"No"
837,76.20166667,"No"
838,76.24333333,"No"
839,76.39666667,"No"
840,76.33166667,"No"
841,76.3,"No"
842,76.25166667,"No"
843,76.22833333,"No"
844,76.395,"No"
845,76.47833333,"No"
846,76.52833333,"No"
847,76.37,"No"
848,76.24333333,"No"
849,76.36333333,"No"
850,76.555,"No"
851,76.57,"No"
852,76.54833333,"No"
853,76.41166667,"No"
854,76.35166667,"No"
855,76.54166667,"No"
856,76.55,"No"
857,76.57166667,"No"
858,76.5,"No"
859,76.41333333,"No"
860,76.435,"No"
861,76.59333333,"No"
862,76.535,"No"
863,76.49666667,"No"
864,76.405,"No"
865,76.355,"No"
866,76.40833333,"No"
867,76.45666667,"No"
868,76.35666667,"No"
869,76.285,"No"
870,76.2,"No"
871,76.21,"No"
872,76.37166667,"No"
873,76.4,"No"
874,76.32666667,"No"
875,76.3,"No"
876,76.29833333,"No"
877,76.39833333,"No"
878,76.5,"No"
879,76.5,"No"
880,76.46,"No"
881,76.40166667,"No"
882,76.46166667,"No"
883,76.65166667,"No"
884,76.635,"No"
885,76.48,"No"
886,76.4,"No"
887,76.4,"No"
888,76.44833333,"No"
889,76.595,"No"
890,76.6,"No"
891,76.55666667,"No"
892,76.4,"No"
893,76.305,"No"
894,76.41,"No"
895,76.435,"No"
896,76.465,"No"
897,76.345,"No"
898,76.2,"No"
899,76.295,"No"
